Grupos ECOICOP;Tipo de dato;Periodo;Total
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2023M09;103,028
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2023M08;102,618
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2023M07;102,815
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2023M06;102,744
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2023M05;101,886
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2023M04;102,225
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2023M03;104,138
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2023M02;106,287
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2023M01;103,156
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M12;107,680
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M11;106,893
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M10;110,790
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M09;118,604
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M08;125,137
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M07;120,761
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M06;117,695
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M05;113,807
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M04;114,653
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M03;124,213
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M02;113,252
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2022M01;112,574
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M12;112,736
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M11;105,820
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M10;107,963
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M09;103,846
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M08;100,308
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M07;98,144
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M06;98,903
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M05;96,832
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M04;96,478
