Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
Nacional;03 Vestido y calzado;Variación anual;2024M10;0,3
Nacional;03 Vestido y calzado;Variación anual;2024M09;0,4
Nacional;03 Vestido y calzado;Variación anual;2024M08;0,7
Nacional;03 Vestido y calzado;Variación anual;2024M07;0,9
Nacional;03 Vestido y calzado;Variación anual;2024M06;0,7
Nacional;03 Vestido y calzado;Variación anual;2024M05;0,8
Nacional;03 Vestido y calzado;Variación anual;2024M04;0,8
Nacional;03 Vestido y calzado;Variación anual;2024M03;1,2
Nacional;03 Vestido y calzado;Variación anual;2024M02;1,9
Nacional;03 Vestido y calzado;Variación anual;2024M01;2,5
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M12;0,5
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M11;1,2
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M10;-2,9
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M09;-10,5
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M08;-12,5
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M07;-11,8
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M06;-2,4
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M05;-1,6
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M04;-3,8
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M03;-10,2
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M02;-12,3
Nacional;03 Vestido y calzado;Variación en lo que va de año;2024M01;-10,7
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M12;108,920
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M11;108,304
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M10;106,616
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M09;106,042
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M08;106,758
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M07;106,054
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M06;108,012
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M05;107,178
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M04;106,295
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M03;105,747
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M02;103,426
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2024M01;104,745
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M12;0,6
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M11;1,6
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M10;0,5
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M09;-0,7
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M08;0,7
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M07;-1,8
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M06;0,8
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M05;0,8
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M04;0,5
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M03;2,2
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M02;-1,3
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M01;3,3
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M12;7,4
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M11;7,4
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M10;4,2
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M09;2,9
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M08;4,0
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M07;3,2
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M06;5,1
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M05;5,2
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M04;4,0
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M03;1,5
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M02;-2,7
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación anual;2024M01;1,5
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M12;7,4
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M11;6,8
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M10;5,2
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M09;4,6
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M08;5,3
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M07;4,6
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M06;6,5
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M05;5,7
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M04;4,9
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M03;4,3
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M02;2,0
Nacional;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2024M01;3,3
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M12;113,059
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M11;112,901
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M10;112,725
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M09;112,395
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M08;112,245
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M07;112,204
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M06;112,802
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M05;112,822
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M04;112,682
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M03;112,312
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M02;112,134
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M01;112,007
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M12;0,1
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M11;0,2
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M10;0,3
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M09;0,1
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M08;0,0
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M07;-0,5
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M06;0,0
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M05;0,1
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M04;0,3
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M03;0,2
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M02;0,1
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación mensual;2024M01;-0,3
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M12;0,6
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M11;0,5
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M10;0,5
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M09;0,5
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M08;0,5
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M07;0,5
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M06;0,4
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M05;0,6
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M04;0,8
